78 | MAGURAPLEX | 90.7 | 92.1 | 90 | 90.7 | 89.1 | 1.6 | 1,457 | 36.3120 | 399,197 | 
79 | EASTRNLUB | 2 | 2,745 | 2,646 | 2,657.5 | 2 | -73.7 | 1,696 | 36.0620 | 13,444 | 
80 | MONOSPOOL | 105.5 | 108.4 | 104 | 105.5 | 103.3 | 2.2 | 1,613 | 35.8940 | 337,629 | 
81 | SALVOCHEM | 26.6 | 27 | 25.9 | 26.6 | 26.2 | 0.4 | 950 | 34.8490 | 1,325,276 | 
82 | ARGONDENIM | 18.2 | 18.8 | 18 | 18.2 | 17.7 | 0.5 | 689 | 34.8310 | 1,910,202 | 
83 | EGEN | 21.7 | 21.8 | 20.3 | 21.7 | 20.4 | 1.3 | 1,340 | 34.7120 | 1,633,495 | 
84 | BANGAS | 111.9 | 115.5 | 107 | 111.9 | 105.8 | 6.1 | 1,493 | 34.5590 | 308,211 | 
85 | MLDYEING | 9.9 | 10.7 | 9.8 | 9.9 | 10 | -0.1 | 772 | 33.7780 | 3,315,747 | 
86 | NHFIL | 26.1 | 26.3 | 25.3 | 26.1 | 25.3 | 0.8 | 820 | 33.5350 | 1,293,690 | 
87 | SQUARETEXT | 56.4 | 57.8 | 54.9 | 56.4 | 53.4 | 3 | 991 | 33.4240 | 597,416 | 
88 | UPGDCL | 138.6 | 139 | 133 | 138.6 | 132.2 | 6.4 | 1,278 | 32.4470 | 236,167 | 
89 | SONARGAON | 34.1 | 35.9 | 33.8 | 34.1 | 34.5 | -0.4 | 1,046 | 32.4390 | 930,536 | 
90 | DOREENPWR | 26.7 | 27.2 | 25.1 | 26.7 | 25.2 | 1.5 | 853 | 32.2340 | 1,221,281 | 
91 | KARNAPHULI | 31.9 | 33.3 | 31.5 | 31.9 | 32.8 | -0.9 | 967 | 32.1220 | 1,001,168 | 
92 | MONNOFABR | 14.2 | 15.1 | 14.1 | 14.2 | 14.2 | 0 | 871 | 32.0680 | 2,204,245 | 
93 | DSHGARME | 116.7 | 125.9 | 116 | 116.7 | 120.5 | -3.8 | 1,813 | 31.6980 | 266,034 | 
94 | ENVOYTEX | 46.1 | 47.8 | 45.8 | 46.1 | 45.2 | 0.9 | 782 | 31.3750 | 673,403 | 
95 | BARKAPOWER | 11.2 | 11.3 | 10.2 | 11.2 | 11.3 | -0.1 | 673 | 31.3400 | 2,911,435 | 
96 | TRUSTBANK | 23.4 | 23.9 | 22.5 | 23.4 | 22.2 | 1.2 | 743 | 30.6230 | 1,313,327 | 
97 | HRTEX | 28.3 | 29.5 | 27.8 | 28.3 | 27.9 | 0.4 | 805 | 30.5080 | 1,059,996 | 
98 | MHSML | 15.8 | 16.8 | 15.7 | 15.8 | 15.8 | 0 | 808 | 30.4620 | 1,875,890 | 
99 | KDSALTD | 41.2 | 41.7 | 40.7 | 41.2 | 40.2 | 1 | 785 | 29.6990 | 721,557 | 
100 | BPPL | 15 | 15.1 | 14.6 | 15 | 14.8 | 0.2 | 864 | 29.5610 | 1,991,565 | 
101 | SHEPHERD | 17.7 | 18.5 | 17.3 | 17.7 | 18 | -0.3 | 746 | 29.5180 | 1,648,679 | 
102 | DUTCHBANGL | 47.1 | 48 | 45.1 | 46.4 | 45.3 | 1.8 | 718 | 29.2300 | 628,864 | 
103 | GPHISPAT | 19.6 | 19.8 | 18.8 | 19.6 | 18.9 | 0.7 | 886 | 29.1670 | 1,512,790 | 
104 | HAKKANIPUL | 66.9 | 69.8 | 66.6 | 66.9 | 68.1 | -1.2 | 1,112 | 28.4180 | 417,200 | 
105 | ACMEPL | 15.1 | 15.6 | 15 | 15.1 | 15.3 | -0.2 | 629 | 28.3710 | 1,871,154 | 
106 | ABBANK | 7 | 7.2 | 6.8 | 7 | 7.1 | -0.1 | 731 | 28.3150 | 4,034,006 | 
107 | LINDEBD | 979.4 | 990 | 952 | 979.4 | 951.5 | 27.9 | 1,191 | 28.2660 | 29,039 | 
108 | RDFOOD | 23.7 | 24 | 23.5 | 23.7 | 23.6 | 0.1 | 641 | 27.7300 | 1,170,449 | 
109 | AL-HAJTEX | 130.7 | 139.1 | 128.6 | 130.7 | 134.5 | -3.8 | 608 | 27.6000 | 207,825 | 
110 | MARICO | 2 | 2,980 | 2,881.2 | 2,955.7 | 2 | 75.5 | 410 | 27.4980 | 9,411 | 
111 | NTLTUBES | 82.1 | 83.9 | 81.9 | 82.1 | 82.1 | 0 | 1,059 | 27.2550 | 330,359 | 
112 | 1STPRIMFMF | 21.6 | 22.4 | 21.3 | 21.6 | 22.3 | -0.7 | 1,009 | 26.9890 | 1,233,870 | 
113 | NRBBANK | 9.9 | 10.2 | 9.7 | 9.9 | 9.9 | 0 | 652 | 26.8350 | 2,697,456 | 
114 | IBNSINA | 316.3 | 321 | 313 | 316.3 | 313.4 | 2.9 | 989 | 26.4680 | 83,547 | 
115 | BSRMSTEEL | 69.4 | 69.8 | 66 | 69.4 | 65.9 | 3.5 | 875 | 26.3140 | 386,735 | 
116 | TOSRIFA | 20.2 | 21.3 | 20.1 | 20.2 | 20.3 | -0.1 | 646 | 26.1830 | 1,271,738 | 
117 | SINGERBD | 108.9 | 108.9 | 104.7 | 108.2 | 105 | 3.9 | 820 | 25.6190 | 239,707 | 
118 | POPULARLIF | 48.1 | 48.4 | 47.4 | 48.1 | 47.8 | 0.3 | 680 | 25.3170 | 528,060 | 
119 | PADMAOIL | 203.2 | 206 | 199.5 | 203.2 | 199.5 | 3.7 | 903 | 25.2910 | 124,035 | 
120 | BESTHLDNG | 16.4 | 16.5 | 16.2 | 16.4 | 16.2 | 0.2 | 858 | 25.1990 | 1,545,040 | 
121 | BEACONPHAR | 114.4 | 116.5 | 112 | 114.4 | 112.4 | 2 | 746 | 25.1550 | 219,078 | 
122 | IBP | 13.7 | 14.1 | 13.5 | 13.7 | 13.9 | -0.2 | 688 | 24.8480 | 1,810,022 | 
123 | RUPALILIFE | 84.6 | 85.5 | 82.8 | 84.6 | 84 | 0.6 | 777 | 23.5780 | 280,816 | 
124 | SHASHADNIM | 18.7 | 19.3 | 18.4 | 18.7 | 18.2 | 0.5 | 598 | 23.0180 | 1,226,348 | 
125 | ESQUIRENIT | 23.1 | 24.5 | 23 | 23.1 | 22.7 | 0.4 | 582 | 22.9230 | 983,143 | 
126 | QUEENSOUTH | 13.3 | 13.8 | 13.3 | 13.3 | 13.2 | 0.1 | 641 | 22.8890 | 1,697,257 | 
127 | SUNLIFEINS | 53.3 | 54.7 | 52.3 | 53.3 | 53.9 | -0.6 | 934 | 22.8710 | 429,134 | 
128 | ACI | 200.8 | 202.7 | 192.1 | 200.8 | 193.4 | 7.4 | 955 | 22.7690 | 115,456 | 
129 | UNITEDINS | 40.6 | 41.3 | 39.7 | 40.6 | 37.6 | 3 | 559 | 22.6360 | 551,726 | 
130 | OIMEX | 24.7 | 24.9 | 24.4 | 24.7 | 24.3 | 0.4 | 489 | 21.7010 | 880,841 | 
131 | ICBSONALI1 | 5.9 | 6 | 5.7 | 5.9 | 5.7 | 0.2 | 607 | 21.6630 | 3,689,681 | 
132 | ABB1STMF | 3.8 | 3.9 | 3.7 | 3.8 | 3.7 | 0.1 | 531 | 21.4350 | 5,651,700 | 
133 | MPETROLEUM | 215 | 215.6 | 212.5 | 215 | 213.3 | 1.7 | 472 | 20.8660 | 97,149 | 
134 | MONNOCERA | 88.1 | 90.2 | 87.8 | 88.1 | 88.1 | 0 | 917 | 20.2370 | 228,370 | 
135 | ADNTEL | 78.1 | 79.1 | 76.1 | 78.1 | 76.5 | 1.6 | 766 | 20.0470 | 257,670 | 
